年月,台灣,紐約,那斯達克,日本,倫敦,香港,韓國,新加坡,上海
2000,80.410000,114.980000,35.960000,67.640000,174.060000,,368.660000,27.810000,162.060000
2001,103.190000,107.200000,28.160000,55.290000,146.120000,,303.770000,38.540000,131.910000
2002,87.350000,84.710000,18.740000,52.670000,110.580000,,282.700000,37.490000,110.160000
2003,120.310000,101.680000,25.530000,69.650000,130.260000,,450.570000,46.340000,154.690000
2004,123.090000,107.210000,29.810000,77.190000,127.850000,,519.270000,55.170000,192.990000
2005,133.160000,105.450000,28.550000,100.340000,133.940000,,593.360000,85.000000,205.220000
2006,158.260000,115.280000,28.890000,105.780000,154.460000,,903.080000,87.730000,264.480000
2007,166.740000,111.560000,28.610000,98.810000,134.380000,,1281.710000,106.990000,304.100000
2008,89.020000,64.440000,15.740000,63.690000,70.300000,616.880000,50.570000,139.900000,31.540000
2009,162.270000,82.110000,22.470000,65.660000,126.090000,1076.850000,100.110000,252.940000,54.200000
2010,168.650000,89.540000,26.000000,69.660000,157.300000,1185.710000,107.600000,277.340000,45.800000
2011,134.270000,75.890000,24.740000,54.010000,123.930000,908.720000,82.840000,216.280000,31.340000
2012,145.380000,86.970000,28.290000,56.080000,126.870000,1078.420000,96.450000,262.360000,29.720000
2013,160.980000,106.940000,36.250000,88.120000,160.740000,1124.800000,94.560000,243.940000,25.920000
2014,166.900000,110.440000,39.830000,90.260000,132.160000,1109.340000,85.930000,240.320000,37.330000
2015,146.110000,97.630000,39.960000,111.510000,133.890000,1029.510000,89.040000,208.960000,40.520000
2016,158.640000,104.630000,41.580000,102.740000,130.990000,995.160000,90.630000,205.160000,36.570000
2017,181.890000,113.320000,51.520000,128.040000,168.770000,1273.280000,115.750000,233.830000,42.190000
2018,164.780000,100.900000,47.610000,106.530000,128.610000,1052.040000,87.300000,190.320000,29.230000

